id,source,type
0k95b4fgc0aehiugb8i3hbp21khoajlm@import.calendar.google.com,Kingdom of AEthelmearc,kingdom
othe4hmi8d0cvnt067pu0b8706a7ogu6@import.calendar.google.com,Kingdom of Ansteorra,kingdom
artemisia.sca.org_9iqo7h90tgijir4m9k44edph4c@group.calendar.google.com,Kingdom of Artemisia,kingdom
atenveldt.org_4quknk707t2jhjn1res49r5o4o@group.calendar.google.com,Kingdom of Atenveldt,kingdom
lgb6lfiqqr8qbhp4lejct5c72h172f1v@import.calendar.google.com,Kingdom of Atlantia,kingdom
eventprime:https://avacal.org,Kingdom of Avacal,kingdom
sca-caid.org_e4j3b1q1okn7jtq1d3ddpvr9j4@group.calendar.google.com,Kingdom of Caid,kingdom
calontir-json:https://www.calontir.org/wp-content/plugins/calon/calon_vload.php?didi=50,Kingdom of Calontir,kingdom
drachenwald-json:https://dis.drachenwald.sca.org/data/calendar.json,Kingdom of Drachenwald,kingdom
ealdormerecalsec@gmail.com,Kingdom of Ealdormere,kingdom
https://gleannabhann.net/events/?ical=1,Kingdom of Gleann Abhann,kingdom
calendar@lochac.sca.org,Kingdom of Lochac,kingdom
nuevent:https://meridies.org,Kingdom of Meridies,kingdom
59130hf3l36lmidicu29klcges@group.calendar.google.com,Kingdom of Northshield,kingdom
i4lmdlb78508crl9t8es75jh8ps6t2ib@import.calendar.google.com,Kingdom of the Outlands,kingdom
gjb8qnuff2sek29tf8vbijth8b6umj7v@import.calendar.google.com,Kingdom of the East,kingdom
tribe-rest:https://trimaris.org,Kingdom of Trimaris,kingdom
tribe-rest:https://westkingdom.org,Kingdom of the West,kingdom
mec-rest:https://midrealm.org,Kingdom of the Middle,kingdom
9p6lpvucu4govg1mb83ea4cntg@group.calendar.google.com,Barony of Ponte Alto,baronial
7lkik5usej15uli6d62cb6rt00@group.calendar.google.com,Barony of Storvik,baronial
c_e5a20ea8b028aef810a6015b8e97e624de4b494086ab9d906d6634066a6cc18e@group.calendar.google.com,Barony of Lochmere,baronial
2gskgfm3tsnsjmoe6go08lb56o@group.calendar.google.com,Barony of Bright Hills,baronial
p2le0sqe2up07bih2te3solrhs@group.calendar.google.com,Barony of Raven's Cove,baronial
cea37ntjlu57osemvnn2787584@group.calendar.google.com,Barony of Sacred Stone,baronial
17328f6a1f279a5ba835356980da620d0f23142b64be07aeeeb3588e3e58a9c9@group.calendar.google.com,Barony of Marinus,baronial
4rp7njkb496vkrej5ojnob7060@group.calendar.google.com,Barony of Stierbach,baronial
hgo8uo0922ooib7hlvmshevg84@group.calendar.google.com,Barony of Stierbach (Workshops),baronial
8c8f5mon8e5q9q2thkfj57d964@group.calendar.google.com,Shire of Aukesgate,baronial
noa4reqbs11esg21gjjefa9k5g@group.calendar.google.com,Shire of Stormwall,baronial
simcal:http://www.windmastershill.org/,Barony of Windmasters' Hill,baronial
tribe-rest:https://hiddenmountain.atlantia.sca.org,Barony of Hidden Mountain,baronial
seneschal@blackdiamond.atlantia.sca.org,Barony of Black Diamond,baronial
uk9bjrsu1loit3j4bjai8b07g0@group.calendar.google.com,Barony of Caer Mear,baronial
https://www.google.com/calendar/ical/c_9f2bb029e0685a0401901930b9fe78acf41ca17773ea62c6bb701e5fe17694f7%40group.calendar.google.com/public/basic.ics,Barony of Carolingia,baronial
https://www.google.com/calendar/ical/ab1ck2oprvq27pcknmug57mhu0%40group.calendar.google.com/public/basic.ics,Barony of Concordia of the Snows,baronial
https://www.google.com/calendar/ical/c_532d7ba214e09e0cfa6859eaa2535363fca6a18854266d9e0179ae3724075fd8%40group.calendar.google.com/public/basic.ics,Barony of Dragonship Haven,baronial
https://ruantallan.eastkingdom.org/?ical=1,Barony of Ruantallan,baronial
https://www.google.com/calendar/ical/diii87giqlcb15a1sf66nbsnb0%40group.calendar.google.com/public/basic.ics,Canton of Brokenbridge,baronial
https://www.google.com/calendar/ical/eastkingdom.org_r65fh2dk7iqa9g6ueekk28uo54%40group.calendar.google.com/public/basic.ics,Canton of Old Stonebridges,baronial
https://www.eisental.eastkingdom.org/feed/eo-events,Shire of Eisental,baronial
https://www.google.com/calendar/ical/c_msaukb1eicop7tulld2idjg1m4%40group.calendar.google.com/public/basic.ics,Shire of Owlsherst,baronial
https://www.google.com/calendar/ical/013sn8fvdtsbvs6f12ngnkhtbs%40group.calendar.google.com/public/basic.ics,Shire of Quintavia,baronial
https://www.google.com/calendar/ical/aarquelle%40gmail.com/public/basic.ics,Barony of Aarquelle,baronial
https://calendar.google.com/calendar/ical/5pb6cnjq95h42r903klmf27sqk%40group.calendar.google.com/public/basic.ics,Barony of Unser Hafen,baronial
https://whitemountain.outlands.org/?ical=1,Shire of White Mountain,baronial
