kingdom,event_color,practice_color
Kingdom of AEthelmearc,#c3072a,#bf5f71
Kingdom of An Tir,#fff68e,#fffac1
Kingdom of Ansteorra,#ffcc00,#ffe063
Kingdom of Artemisia,#ccb33e,#d1c485
Kingdom of Atenveldt,#68f2ef,#ade0df
Kingdom of Atlantia,#00a992,#65b3a9
Kingdom of Avacal,#ff4f33,#ee7e6d
Kingdom of Caid,#001dd8,#495cd6
Kingdom of Calontir,#a530ff,#b95ffe
Kingdom of Drachenwald,#ff8a00,#ffbf74
Kingdom of Ealdormere,#f0a6c6,#f1cedd
Kingdom of Gleann Abhann,#7f1212,#984d4d
Kingdom of Lochac,#b78de9,#d2b4f6
Kingdom of Meridies,#8c8c8c,#b4b4b4
Kingdom of Northshield,#000000,#464646
Kingdom of Trimaris,#0083ff,#46a5ff
Kingdom of the East,#720092,#8b569a
Kingdom of the Middle,#179100,#559949
Kingdom of the Outlands,#6de369,#abe9a9
Kingdom of the West,#a5ff00,#cbff6c
