kingdom,group,type,calendar_id,website,social,date_last_checked
Kingdom of AEthelmearc,Barony of Blackstone Mountain,barony,No Calendar Listed,,,2026-06-22
Kingdom of AEthelmearc,Barony of Delftwood,barony,No Calendar Listed,http://delftwood.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Barony of Endless Hills,barony,No Calendar Listed,http://endlesshills.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Barony of Rhydderich Hael,barony,No Calendar Listed,http://hael.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Barony of St. Swithin’s Bog,barony,No Calendar Listed,http://stswithinsbog.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Barony of Thescorre,barony,No Calendar Listed,http://thescorre.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Canton of Beau Fleuve,canton,No Calendar Listed,http://beaufleuve.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Canton of Dunloch,canton,No Calendar Listed,https://dunloch.aethelmearc.org,,2026-06-22
Kingdom of AEthelmearc,College of Arx Collis,college,No Calendar Listed,https://arxcollis.aethelmearc.org,,2026-06-22
Kingdom of AEthelmearc,College of Silva Vulcani,college,No Calendar Listed,https://silvavulcani.wixsite.com/silvavulcani,,2026-06-22
Kingdom of AEthelmearc,Shire of Abhainn Ciach Ghlais,shire,No Calendar Listed,http://www.shireofacg.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Angel's Keep,shire,No Calendar Listed,http://angelskeep.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Ballachlagan,shire,No Calendar Listed,https://ballachlagan.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Blackwater,shire,No Calendar Listed,,,2026-06-22
Kingdom of AEthelmearc,Shire of Coppertree,shire,No Calendar Listed,http://coppertree.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Courtlandtslot,shire,No Calendar Listed,,,2026-06-22
Kingdom of AEthelmearc,Shire of Hartstone,shire,No Calendar Listed,http://hartstone.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Heronter,shire,No Calendar Listed,https://heronter.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Hunter's Home,shire,No Calendar Listed,http://huntershome.aethelmearc.org,,2026-06-22
Kingdom of AEthelmearc,Shire of King's Crossing,shire,No Calendar Listed,http://kingscrossing.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Misty Highlands,shire,No Calendar Listed,,,2026-06-22
Kingdom of AEthelmearc,Shire of Nithgaard,shire,No Calendar Listed,http://nithgaard.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Port Oasis,shire,No Calendar Listed,http://www.portoasis.org,,2026-06-22
Kingdom of AEthelmearc,Shire of Steltonwald,shire,No Calendar Listed,https://steltonwald.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Sterlynge Vayle,shire,No Calendar Listed,http://sterlyngevayle.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Sunderoak,shire,No Calendar Listed,http://sunderoak.aethelmearc.org,,2026-06-22
Kingdom of AEthelmearc,Shire of Sylvan Glen,shire,No Calendar Listed,http://sylvanglen.aethelmearc.org/,,2026-06-22
Kingdom of AEthelmearc,Shire of Wyntersett,shire,No Calendar Listed,http://wyntersetthome.org/,,2026-06-22
Kingdom of An Tir,Barony of Adiantum,barony,No Calendar Listed,http://adiantum.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Barony of Aquaterra,barony,No Calendar Listed,http://aquaterra.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Barony of Blatha an Oir,barony,No Calendar Listed,http://blathaanoir.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Barony of Dragon's Mist,barony,No Calendar Listed,http://dragonsmist.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Barony of Dragons Laire,barony,No Calendar Listed,https://dragonslaire.antir.org/wordpress/,,2026-06-22
Kingdom of An Tir,Barony of Glymm Mere,barony,No Calendar Listed,https://glymmmere.antir.org/,,2026-06-22
Kingdom of An Tir,Barony of Glyn Dwfn,barony,No Calendar Listed,http://glyndwfn.antir.sca.org,,2026-06-22
Kingdom of An Tir,Barony of Lions Gate,barony,No Calendar Listed,http://lionsgate.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Barony of Madrone,barony,No Calendar Listed,http://baronyofmadrone.net/,,2026-06-22
Kingdom of An Tir,Barony of Seagirt,barony,No Calendar Listed,http://seagirt.tirrigh.org/,,2026-06-22
Kingdom of An Tir,Barony of Stromgard,barony,No Calendar Listed,https://www.stromgard-sca.org/,,2026-06-22
Kingdom of An Tir,Barony of Terra Pomaria,barony,No Calendar Listed,http://terrapomaria.antir.sca.org/,,2026-06-22
Kingdom of An Tir,Barony of Three Mountains,barony,No Calendar Listed,http://baronyofthreemountains.org/,,2026-06-22
Kingdom of An Tir,Barony of Vulcanfeldt,barony,No Calendar Listed,https://vulcanfeldt.antir.org/,,2026-06-22
Kingdom of An Tir,Barony of Wastekeep,barony,No Calendar Listed,https://wastekeep.antir.org,,2026-06-22
Kingdom of An Tir,Barony of Wealdsmere,barony,No Calendar Listed,http://wealdsmere.antir.org/,,2026-06-22
Kingdom of An Tir,Barony of Wyewood,barony,No Calendar Listed,http://www.wyewood.org/wp/,,2026-06-22
Kingdom of An Tir,Canton of Akornebir,canton,No Calendar Listed,https://akornebir.antir.org/wordpress/,,2026-06-22
Kingdom of An Tir,Canton of Caladphort,canton,No Calendar Listed,https://glymmmere.antir.org/caladphort-officers/,,2026-06-22
Kingdom of An Tir,Canton of Crows Gate,canton,No Calendar Listed,https://glymmmere.antir.org/crows-gate-officers/,,2026-06-22
Kingdom of An Tir,Canton of Kaldor Ness,canton,No Calendar Listed,https://www.baronyofthreemountains.org/,,2026-06-22
Kingdom of An Tir,Canton of Misty Ridge,canton,No Calendar Listed,https://antir.org,,2026-06-22
Kingdom of An Tir,Canton of Porte de l'Eau,canton,No Calendar Listed,https://porte-de-leau.antir.org/,,2026-06-22
