type,id,name,kingdom,parent kingdom
state,1,Alabama,Kingdom of Meridies,
state,2,Alaska,Principality of Oertha,Kingdom of the West
state,4,Arizona,Kingdom of Atenveldt,
state,5,Arkansas,Kingdom of Gleann Abhann,
state,6,California,Kingdom of the West,
state,8,Colorado,Kingdom of the Outlands,
state,9,Connecticut,Kingdom of the East,
state,10,Delaware,Kingdom of the East,
state,11,District of Columbia,Kingdom of Atlantia,
state,12,Florida,Kingdom of Trimaris,
state,13,Georgia,Kingdom of Meridies,
state,15,Hawaii,Kingdom of Caid,
state,16,Idaho,Kingdom of Artemisia,
state,17,Illinois,Kingdom of the Middle,
state,18,Indiana,Kingdom of the Middle,
state,19,Iowa,Kingdom of Calontir,
state,20,Kansas,Kingdom of Calontir,
state,21,Kentucky,Kingdom of the Middle,
state,22,Louisiana,Kingdom of Gleann Abhann,
state,23,Maine,Kingdom of the East,
state,24,Maryland,Kingdom of Atlantia,
state,25,Massachusetts,Kingdom of the East,
state,26,Michigan,Kingdom of the Middle,
state,27,Minnesota,Kingdom of Northshield,
state,28,Mississippi,Kingdom of Gleann Abhann,
state,29,Missouri,Kingdom of Calontir,
state,30,Montana,Kingdom of Artemisia,
state,31,Nebraska,Kingdom of Calontir,
state,32,Nevada,Kingdom of the West,
state,33,New Hampshire,Kingdom of the East,
state,34,New Jersey,Kingdom of the East,
state,35,New Mexico,Kingdom of the Outlands,
state,36,New York,Kingdom of the East,
state,37,North Carolina,Kingdom of Atlantia,
state,38,North Dakota,Kingdom of Northshield,
state,39,Ohio,Kingdom of the Middle,
state,40,Oklahoma,Principality of Vindheim,Kingdom of Ansteorra
state,41,Oregon,Kingdom of An Tir,
state,42,Pennsylvania,Kingdom of AEthelmearc,
state,44,Rhode Island,Kingdom of the East,
state,45,South Carolina,Kingdom of Atlantia,
state,46,South Dakota,Kingdom of Northshield,
state,47,Tennessee,Kingdom of Meridies,
state,48,Texas,Kingdom of Ansteorra,
state,49,Utah,Kingdom of Artemisia,
state,50,Vermont,Kingdom of the East,
state,51,Virginia,Kingdom of Atlantia,
state,53,Washington,Kingdom of An Tir,
state,54,West Virginia,Kingdom of AEthelmearc,
state,55,Wisconsin,Kingdom of Northshield,
state,56,Wyoming,Kingdom of the Outlands,
county,6001,Alameda,Principality of the Mists,Kingdom of the West
county,6005,Amador,Principality of Cynagua,Kingdom of the West
county,6009,Calaveras,Principality of Cynagua,Kingdom of the West
county,6013,Contra Costa,Principality of the Mists,Kingdom of the West
county,6017,El Dorado,Principality of Cynagua,Kingdom of the West
county,6019,Fresno,Kingdom of Caid,
county,6025,Imperial,Kingdom of Caid,
county,6027,Inyo,Kingdom of Caid,
county,6029,Kern,Kingdom of Caid,
county,6031,Kings,Kingdom of Caid,
county,6037,Los Angeles,Kingdom of Caid,
county,6039,Madera,Kingdom of Caid,
county,6041,Marin,Principality of the Mists,Kingdom of the West
county,6043,Mariposa,Kingdom of Caid,
county,6047,Merced,Principality of Cynagua,Kingdom of the West
county,6055,Napa,Principality of the Mists,Kingdom of the West
county,6059,Orange,Kingdom of Caid,
county,6061,Placer,Principality of Cynagua,Kingdom of the West
county,6065,Riverside,Kingdom of Caid,
county,6067,Sacramento,Principality of Cynagua,Kingdom of the West
county,6071,San Bernardino,Kingdom of Caid,
county,6073,San Diego,Kingdom of Caid,
county,6075,San Francisco,Principality of the Mists,Kingdom of the West
county,6077,San Joaquin,Principality of Cynagua,Kingdom of the West
county,6079,San Luis Obispo,Kingdom of Caid,
county,6081,San Mateo,Principality of the Mists,Kingdom of the West
county,6083,Santa Barbara,Kingdom of Caid,
county,6085,Santa Clara,Principality of the Mists,Kingdom of the West
county,6087,Santa Cruz,Principality of the Mists,Kingdom of the West
county,6095,Solano,Principality of the Mists,Kingdom of the West
county,6097,Sonoma,Principality of the Mists,Kingdom of the West
county,6099,Stanislaus,Principality of Cynagua,Kingdom of the West
county,6101,Sutter,Principality of Cynagua,Kingdom of the West
county,6107,Tulare,Kingdom of Caid,
county,6109,Tuolumne,Principality of Cynagua,Kingdom of the West
county,6111,Ventura,Kingdom of Caid,
county,6113,Yolo,Principality of Cynagua,Kingdom of the West
county,6115,Yuba,Principality of Cynagua,Kingdom of the West
county,12091,Okaloosa,Kingdom of Meridies,
county,12113,Santa Rosa,Kingdom of Meridies,
county,12131,Walton,Kingdom of Meridies,
county,12033,Escambia,Kingdom of Meridies,
county,16009,Benewah,Kingdom of An Tir,
county,16017,Bonner,Kingdom of An Tir,
county,16021,Boundary,Kingdom of An Tir,
county,16035,Clearwater,Kingdom of An Tir,
county,16049,Idaho,Kingdom of An Tir,
county,16055,Kootenai,Kingdom of An Tir,
